name.forbes-billionaires,lastName.forbes-billionaires,uri.forbes-billionaires,imageUri.forbes-billionaires,worthChange.forbes-billionaires,age.forbes-billionaires,source.forbes-billionaires,industry.forbes-billionaires,gender.forbes-billionaires,country.forbes-billionaires,timestamp.forbes-billionaires,realTimeWorth.forbes-billionaires,realTimeRank.forbes-billionaires,realTimePosition.forbes-billionaires,position.forbes-china-billionaires,rank.forbes-china-billionaires,name.forbes-china-billionaires,lastName.forbes-china-billionaires,uri.forbes-china-billionaires,imageUri.forbes-china-billionaires,worth.forbes-china-billionaires,age.forbes-china-billionaires,source.forbes-china-billionaires,industry.forbes-china-billionaires,gender.forbes-china-billionaires,Cosine
Anant Asavabhokhin & family,Asavabhokhin,anant-asavabhokhin,no-pic,-12.488,67,real estate,Real Estate,M,Thailand,1516704901086,1437.207,1646,1646,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Banthoon Lamsam & family,Lamsam,banthoon-lamsam,banthoon-lamsam,-2.497,65,banking,Finance and Investments,M,Thailand,1516704901086,1238.151,1832,1832,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Bill Adderley & family,Adderley,bill-adderley,no-pic,9.909,69,home furnishings,Fashion & Retail,M,United Kingdom,1516704901086,1372.022,1703,1703,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Cai Xiaoru,Cai,cai-xiaoru,no-pic,0,38,electronic components,Technology,M,China,1516704901086,1054.661,1991,1991,395,395,Cai Xiaoru,Cai,cai-xiaoru,no-pic,1070,38,electronic components,Technology,M,99
Chalerm Yoovidhya & family,Yoovidhya,chalerm-yoovidhya,chalerm-yoovidhya,0,67,energy drinks,Food and Beverage,M,Thailand,1516704901086,13814.459,116,116,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Charles Butt & family,Butt,charles-butt,charles-butt,0,79,supermarkets,Fashion & Retail,M,United States,1516704901086,10700,151,151,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Charles Cadogan & family,Cadogan,charles-cadogan,no-pic,0,80,real estate,Real Estate,M,United Kingdom,1516704901086,7597.619,232,232,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Chatri Sophonpanich & family,Sophonpanich,chatri-sophonpanich,chatri-sophonpanich,8.613,83,banking,Finance and Investments,M,Thailand,1516704901086,1549.622,1550,1550,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Chen Jinsong & family,Chen,chen-jinsong,chen-jinsong,3.447,54,real estate,Real Estate,M,Hong Kong,1516704901086,1065.577,1982,1982,377,377,Chen Jinsong,Chen,chen-jinsong,chen-jinsong,1120,54,real estate,Real Estate,M,70
Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,22.669,44,online games,Technology,M,China,1516704901086,1548.751,1552,1552,238,238,Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,1550,44,online games,Technology,M,99
